feature,importance
timesfm_direction_step2,0.0
ticker_dummy_CVX,0.00024048661891162582
timesfm_direction_step1,0.00043125525239763287
timesfm_direction_step3,0.0005506912965679771
ticker_dummy_XOM,0.0006004975252901232
timesfm_direction_step5,0.0013824330949399445
ticker_dummy_OXY,0.0027748136296394874
timesfm_direction_step4,0.0028400188027002267
timesfm_pred_return_step2,0.014966422657723534
timesfm_pred_return_step1,0.021495930066567952
stock_return_1d,0.028646489610271008
timesfm_pred_return_step3,0.029435882492061905
timesfm_pred_return_step4,0.03726862832763401
close_to_ma30,0.040651321592162115
timesfm_pred_return_step5,0.041936816109250846
volatility_7d,0.04954272111651398
close_to_ma7,0.06348759019956475
wti_return_1d,0.07041226612680002
timesfm_pred_return_slope_1_to_5,0.07300078761312896
volume_change_1d,0.08707022096665029
volatility_30d,0.08895744015170472
xle_return_1d,0.09458330062986212
vix_return_1d,0.09809964376427117
spy_return_1d,0.1516243423553856
